domain,owner,certified_date,cert_level,detail_url
baolaocai.vn,Báo Lào Cai,10/05/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baolaocaivn-1715324440
baoloc.lamdong.gov.vn,UBND thành phố Bảo Lộc,10/05/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baoloclamdonggovvn-1682474730
baophapluat.vn,Báo điện tử Pháp luật Việt Nam,10/05/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baophapluatvn-1625727122
baophunuthudo.vn,Báo phụ nữ Thủ đô,10/05/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baophunuthudovn-1683533212
baophutho.vn,Báo Phú Thọ,10/05/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baophuthovn-1715219870
baoquangngai.vn,Báo Quảng Ngãi,12/07/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baoquangngaivn-1689134485
baoquangninh.com.vn,Trung tâm Truyền thông tỉnh Quảng Ninh,16/11/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baoquangninhcomvn-1637036894
baoquangtri.vn,Báo Quảng Trị,10/05/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baoquangtrivn-1715301229
baoquocte.vn,Báo Thế giới và Việt Nam,10/05/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baoquoctevn-1625729689
baotainguyenmoitruong.vn,Báo Tài nguyên và Môi trường,10/05/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotainguyenmoitruongvn-1654768133
baotang.thanhhoa.gov.vn,Bảo tàng tỉnh Thanh Hóa,01/08/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotangthanhhoagovvn-1690783584
baotangdanang.vn,Bảo tàng Đà Nẵng,29/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotangdanangvn-1729566355
baotangtpcantho.cantho.gov.vn,Bảo tàng Thành  phố Cần Thơ,16/11/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotangtpcanthocanthogovvn-1636958810
baothang.laocai.gov.vn,UBND huyện Bảo Thắng tỉnh Lào Cai,19/07/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baothanglaocaigovvn-1626685328
baothanhhoa.vn,Báo Thanh Hóa,23/08/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baothanhhoavn-1629713205
