domain,owner,org_type,certified_date,cert_level,detail_url
csdlsxd.danang.gov.vn,Sở Xây dựng thành phố Đà Nẵng,Hội đồng nhân dân & UBND,05/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/csdlsxddananggovvn-1725509168
ctkyenbai.gso.gov.vn,Cục Thống kê tỉnh Yên Bái,Chính phủ Việt Nam,01/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ctkyenbaigsogovvn-1722396005
cucthongke.quangtri.gov.vn,Cục Thống kê tỉnh Quảng Trị,Chính phủ Việt Nam,27/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkequangtrigovvn-1727336504
cucthongkecamau.gso.gov.vn,Cục Thống kê tỉnh Cà Mau,Chính phủ Việt Nam,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkecamaugsogovvn-1729127480
cucthongkedaklak.gso.gov.vn,Cục Thống kê tỉnh Đắk Lắk,Chính phủ Việt Nam,16/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkedaklakgsogovvn-1729041827
cucthongkedaknong.gso.gov.vn,Cục Thống kê Đắk Nông,Chính phủ Việt Nam,03/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkedaknonggsogovvn-1719888802
cucthongkehanam.gso.gov.vn,Cục Thống kê tỉnh Hà Nam,Chính phủ Việt Nam,11/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkehanamgsogovvn-1728548560
cucthongkequangninh.gso.gov.vn,Cục Thống kê tỉnh Quảng Ninh,Chính phủ Việt Nam,27/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkequangninhgsogovvn-1727324337
cucthongkesonla.gso.gov.vn,Cục Thống kê Sơn La,Chính phủ Việt Nam,15/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkesonlagsogovvn-1721010531
cucthongkethainguyen.gso.gov.vn,Cục Thống kê Thái Nguyên,Chính phủ Việt Nam,11/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongkethainguyengsogovvn-1728546697
cucthongketiengiang.gso.gov.vn,Cục Thống kê tỉnh Tiền Giang,Chính phủ Việt Nam,30/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cucthongketiengianggsogovvn-1727402754
cumgar.daklak.gov.vn,"UBND huyện Cư Mgar, tỉnh Đắk Lắk",Hội đồng nhân dân & UBND,31/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cumgardaklakgovvn-1730345375
