domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
60shomnay.vn,CÔNG TY TNHH SMART PRO,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2024-07-23,Giấy phép (ABEI),201/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
69s.vn,Công ty Cổ phần Dịch vụ Truyền thông DC Media,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
7dragon.vn,CÔNG TY CỔ PHẦN TEPAYLINK ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-02-13,Giấy phép (ABEI),87/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
7empires.boardcraftonline.vn,Công ty TNHH ZingPlay Việt Nam ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-12-05,Giấy phép (ABEI),543/QĐ-PTTH&TTĐT,invalid,https://giayphep.abei.gov.vn/
88sao.vn,Công ty TNHH Một thành viên 88sao,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
8clip.vn,Công ty Cổ phần Truyền thông Sông Sáng,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
8friend.vn,CÔNG TY CỔ PHẦN TRUYỀN THÔNG SÁNG,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-04-20,Giấy phép (ABEI),164/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
90min.vn,Công ty Cổ phần Mua bán Trực tuyến Giá Thấp,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
90min.com.vn,Công ty Cổ phần Mua bán Trực tuyến Giá Thấp,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
90p.vn,Công ty Cổ phần Dịch vụ Baza,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
90phut.vn,Công ty Cổ phần Mua bán Trực tuyến Giá Thấp,Website - Trang TTĐT tổng hợp,,Giấy phép (TVPL PDF),,valid,
