domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
3qtini.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-07-27,Giấy phép chính thức (ABEI - Bộ TT&TT),1392/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3qtocbien.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-01-08,Giấy phép chính thức (ABEI - Bộ TT&TT),19/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3qtt.vdcpay.vn,CÔNG TY CỔ PHẦN GMETA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-03-15,Giấy phép chính thức (ABEI - Bộ TT&TT),325/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3qtzh.playfun.vn,CÔNG TY CỔ PHẦN FUNTAP ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-01-13,Giấy phép chính thức (ABEI - Bộ TT&TT),14/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3quanlonghoi.playfun.vn,CÔNG TY CỔ PHẦN FUNTAP,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2021-11-18,Giấy phép chính thức (ABEI - Bộ TT&TT),1848/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qvl.vn,CÔNG TY CỔ PHẦN VGP,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2018-02-09,Giấy phép chính thức (ABEI - Bộ TT&TT),205/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
3qvosong.vn,CÔNG TY CỔ PHẦN ACE GAME,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2022-11-16,Giấy phép chính thức (ABEI - Bộ TT&TT),2098/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
3tonline.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ TRỰC TUYẾN 3T,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-07-13,Giấy phép chính thức (ABEI - Bộ TT&TT),414/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
3truykich.vn,CÔNG TY TNHH GZONE MEDIA VIỆT NAM,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-04-15,Giấy phép chính thức (ABEI - Bộ TT&TT),572/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
4deyeu.vn,CÔNG TY TNHH SÁNG TẠO ĐA PHƯƠNG TIỆN,"GIẤY XÁC NHẬN THÔNG BÁO PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G2,G3,G4",2018-08-30,Giấy phép chính thức (ABEI - Bộ TT&TT),222/GXN-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
568e.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ 568E ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-04-15,Giấy phép chính thức (ABEI - Bộ TT&TT),112/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
568e.vnguyễn,CÔNG TY CỔ PHẦN GIẢI TRÍ 568E,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2024-12-23,Giấy phép chính thức (ABEI - Bộ TT&TT),2246/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
568play.vn,CÔNG TY CỔ PHẦN GIẢI TRÍ 568E ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-06-18,Giấy phép chính thức (ABEI - Bộ TT&TT),257/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
5game.vn,CÔNG TY CỔ PHẦN SMARTSCALE,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2019-08-01,Giấy phép chính thức (ABEI - Bộ TT&TT),1173/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
5gcloudgame.vn,CÔNG TY TNHH DELTA DIGITAL VIỆT NAM,"GIẤY XÁC NHẬN THÔNG BÁO PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G2,G3,G4",2024-10-14,Giấy phép chính thức (ABEI - Bộ TT&TT),246/GXN-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
5h30.vn,CÔNG TY CỔ PHẦN PHÁT TRIỂN TRUYỀN THÔNG VIETPRO,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-06-17,Giấy phép chính thức (ABEI - Bộ TT&TT),257/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
60giay.com,CÔNG TY CỔ PHẦN THEANH 28 TALENT,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2024-08-27,Giấy phép chính thức (ABEI - Bộ TT&TT),228/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
60giay.com.vn,CÔNG TY CỔ PHẦN THEANH 28 TALENT,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2024-08-27,Giấy phép chính thức (ABEI - Bộ TT&TT),228/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
60shomnay.vn,CÔNG TY TNHH SMART PRO,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2024-07-23,Giấy phép chính thức (ABEI - Bộ TT&TT),201/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
7dragon.vn,CÔNG TY CỔ PHẦN TEPAYLINK ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-02-13,Giấy phép chính thức (ABEI - Bộ TT&TT),87/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
7empires.boardcraftonline.vn,Công ty TNHH ZingPlay Việt Nam,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-03-12,Giấy phép chính thức (ABEI - Bộ TT&TT),124/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
8friend.vn,CÔNG TY CỔ PHẦN TRUYỀN THÔNG SÁNG,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-04-20,Giấy phép chính thức (ABEI - Bộ TT&TT),164/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
989me.vn,CÔNG TY TNHH KỸ THUẬT ĐIỆN VÀ CƠ KHÍ 989,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2017-04-14,Giấy phép chính thức (ABEI - Bộ TT&TT),149/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
9d.dzogame.vn,CÔNG TY TNHH CHÂU Á MỀM,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2021-01-21,Giấy phép chính thức (ABEI - Bộ TT&TT),71/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
9dtruyenky2.vn,CÔNG TY CỔ PHẦN TRỰC TUYẾN DUO,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-05-15,Giấy phép chính thức (ABEI - Bộ TT&TT),833/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
9gate.vn,CÔNG TY TNHH GIẢI TRÍ SỐ 9 VIỆT NAM,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-03-11,Giấy phép chính thức (ABEI - Bộ TT&TT),93/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
9play.com.vn,CÔNG TY CỔ PHẦN 9PLAY ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2026-02-06,Giấy phép chính thức (ABEI - Bộ TT&TT),52/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
9play.n,CÔNG TY CỔ PHẦN 9PLAY,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-04-26,Giấy phép chính thức (ABEI - Bộ TT&TT),721/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
9play.vn,CÔNG TY CỔ PHẦN 9PLAY ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2025-06-30,Giấy phép chính thức (ABEI - Bộ TT&TT),301/QĐ-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
abei.gov.vn,"CỤC PHÁT THANH, TRUYỀN HÌNH VÀ THÔNG TIN ĐIỆN TỬ",GIẤY PHÉP THIẾT LẬP TRANG THÔNG TIN ĐIỆN TỬ TỔNG HỢP,2016-05-12,Giấy phép chính thức (ABEI - Bộ TT&TT),48/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
